21:26:42: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (4.0, 1.3333333333333333, 0.13333333333333333) m/s
21:26:43: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 69] Received telemetry data
21:26:43: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (3.75, 0.0, 0.125) m/s
21:26:43: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 69] Received telemetry data
21:26:43: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (2.3529411764705883, 0.0, 0.11764705882352941) m/s
21:26:44: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 69] Received telemetry data
21:26:44: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (1.1111111111111112, 0.0, 0.1111111111111111) m/s
21:26:44: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 69] Received telemetry data
21:26:44: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (0.0, 0.0, 0.10526315789473684) m/s
21:26:45: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 69] Received telemetry data
21:26:45: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (0.0, 1.0, 0.1) m/s
21:26:45: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 69] Received telemetry data
21:26:45: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (0.0, 1.9047619047619047, 0.09523809523809523) m/s
21:26:46: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 69] Received telemetry data
21:26:46: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (0.0, 2.727272727272727, 0.09090909090909091) m/s
21:26:46: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 69] Received telemetry data
21:26:46: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (0.8695652173913043, 2.608695652173913, 0.08695652173913043) m/s
21:26:47: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 69] Received telemetry data
21:26:47: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (1.6666666666666667, 2.5, 0.08333333333333333) m/s
21:26:47: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 69] Received telemetry data
21:26:47: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (2.4, 2.4, 0.08) m/s
21:26:48: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 69] Received telemetry data
21:26:48: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693) m/s
21:26:48: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 69] Received telemetry data
21:26:48: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407) m/s
21:26:49: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 69] Received telemetry data
21:26:49: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (2.142857142857143, 0.0, 0.07142857142857142) m/s
21:26:49: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 69] Received telemetry data
21:26:49: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (1.3793103448275863, 0.0, 0.06896551724137931) m/s
21:26:50: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 69] Received telemetry data
21:26:50: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (0.6666666666666666, 0.0, 0.06666666666666667) m/s
21:26:50: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 69] Received telemetry data
21:26:50: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 85] Average velocity: (0.0, 0.0, 0.06451612903225806) m/s
